"X","id_tanggal_transaksi_awal","tanggal_transaksi_awal","tipe_kartu","id_merchant","nama_merchant","tipe_mesin","tipe_transaksi","nama_transaksi","nilai_transaksi","id_negara","nama_negara","nama_kota","lokasi_mesin","pemilik_mesin","waktu_transaksi","kuartal_transaksi","kepemilikan_kartu","nama_channel","id_channel","flag_transaksi_finansial","status_transaksi","bank_pemilik_kartu","rata_rata_nilai_transaksi","maksimum_nilai_transaksi","minimum_nilai_transaksi","rata_rata_jumlah_transaksi","flag_transaksi_fraud"
4676,2457646,2457726,111,-2,1798,2605127,26,10,2200000,96,5,265,4137,613,193955,4,2,1,9,FALSE,3,999,1332292.784,9750000,10000,2.73,0
788,2457419,2457507,111,-2,1798,-3,156,12,2500000,96,5,121,1264,2196,73140,2,1,5,8,FALSE,3,999,1369047.619,10000000,30000,2.33,1
1520,2457521,2457612,2,-2,1798,-3,156,12,1200000,96,5,101,1283,2049,140216,3,1,5,8,FALSE,3,999,15523460.4,100000000,41804,2.4,0
9346,2457659,2457746,103,75336,249,2806174,58,6,320000,96,5,239,7049,588,155117,3,2,2,4,FALSE,3,999,711764.7059,6884408,10000,1.98,0
2914,2457311,2457385,0,-2,1798,2334932,26,10,150000,96,5,69,3425,613,143339,3,2,1,9,FALSE,3,999,617968.254,2500000,100000,1.46,0
6947,2457413,2457453,111,-2,1798,16834,385,11,100000,96,5,128,744,613,191633,4,2,1,9,FALSE,3,999,274230.7692,1300000,20600,1.69,0
14131,2457615,2457640,93,-2,1798,1850104,385,11,2000000,96,5,128,2302,613,115558,2,2,1,9,FALSE,3,999,2326051.455,40000000,100000,1.79,0
4811,2457429,2457463,0,-2,1798,2435842,385,11,150000,96,5,128,3963,613,142702,3,2,1,9,FALSE,3,999,392400,4320000,25000,1.41,0
1458,2457371,2457453,93,-2,1798,1370214,159,19,50000,96,5,265,1068,613,174044,3,2,1,9,FALSE,3,999,751248.5876,3550000,25000,1.88,0
4123,2457320,2457365,93,-2,1798,1942704,26,10,1250000,96,5,241,2628,613,213705,4,2,1,9,FALSE,3,999,989307.1429,28000000,10000,3.64,0
6709,2457350,2457367,93,-2,1798,1492205,301,16,300000,96,5,102,1406,613,173819,3,2,1,9,FALSE,3,999,1243288.592,8240000,10000,1.82,0
688,2457334,2457344,111,-2,1798,2614170,26,10,1250000,96,5,70,4177,613,160632,3,2,1,9,FALSE,3,999,1368238.789,5300000,44600,2.83,0
7185,2457366,2457390,111,176366,399,1474457,58,6,180000,96,5,259,7585,788,215326,4,2,2,4,FALSE,3,999,1055198.539,10000000,15000,1.82,0
7157,2457471,2457549,111,-2,1798,1893591,238,9,2250000,96,5,128,5511,613,172736,3,2,1,9,FALSE,3,999,579394.7692,2800000,20900,2.04,0
11637,2457548,2457623,4,-2,1798,1374421,148,5,151500,96,5,128,1112,613,145514,3,2,1,9,FALSE,3,999,2494116.102,14000000,25000,2.54,0
9001,2457352,2457358,111,-2,1798,2477775,26,10,2500000,96,5,265,7992,613,115800,2,2,1,9,FALSE,3,999,2006896.552,4000000,100000,2.9,0
3438,2457344,2457385,111,-2,1798,-3,156,12,1300000,96,5,229,80,223,163032,3,1,5,8,FALSE,3,999,1121962.467,2700000,19896,2.37,1
186,2457394,2457446,103,-2,1798,1957074,147,3,543475,96,5,62,2813,613,171038,3,2,1,9,FALSE,3,999,551989.7131,1500000,26500,1.94,0
